CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
2400038,17,1,1-17-2024-001-07,7,2,3,8,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,6,4,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,7,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400038,17,1,1-17-2024-001-07,7,2,8,11,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1125.89793451176,4,9
2400039,20,1,1-20-2024-001-03,3,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,2,4,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,3,5,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,4,8,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,5,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,6,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,7,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,48.9011133058566,11,9
2400039,20,1,1-20-2024-001-03,3,1,8,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,48.9011133058566,11,9
