CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2403550,77,119,1-77-2024-119-NM1,21,1,2,8,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,113.21347390618,9,9
2404569,18,121,1-18-2024-121-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142.413843051628,6,9
2404569,18,121,1-18-2024-121-NM2,22,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.413843051628,6,9
2405448,60,86,1-60-2024-086-NM1,21,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.22330010499,8,9
2405448,60,86,1-60-2024-086-NM1,21,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.22330010499,8,9
2406229,81,163,1-81-2024-163-NM1,21,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,20.2135532866767,8,9
2406229,81,163,1-81-2024-163-NM1,21,1,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,20.2135532866767,8,9
2401844,26,46,1-26-2024-046-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.7030205312635,10,9
2401180,32,41,1-32-2024-041-NM1,21,1,1,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.2268214619951,7,9
2401535,12,28,1-12-2024-028-NM2,22,1,1,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,249.68170357321,9,9
2401535,12,28,1-12-2024-028-NM2,22,1,2,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,249.68170357321,9,9
2400470,30,16,1-30-2024-016-NM2,22,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614.931666902505,10,9
2404970,20,120,1-20-2024-120-NM1,21,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,42.5846152120555,11,9
2405047,33,97,1-33-2024-097-NM1,21,1,1,3,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,55.4261582929793,12,9
2405047,33,97,1-33-2024-097-NM1,21,1,2,1,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,55.4261582929793,12,9
2405047,33,97,1-33-2024-097-NM1,21,2,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,55.4261582929793,12,9
2405047,33,97,1-33-2024-097-NM1,21,2,2,5,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,55.4261582929793,12,9
2406352,26,138,1-26-2024-138-NM1,21,1,1,3,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,89.692806404866,10,9
2406352,26,138,1-26-2024-138-NM1,21,1,2,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,89.692806404866,10,9
2403003,26,86,1-26-2024-086-NM1,21,1,1,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7030205312635,10,9
2404924,12,94,1-12-2024-094-NM1,21,1,1,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,263.286057296844,9,9
2400447,67,5,1-67-2024-005-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,483.798087598719,7,9
2403627,26,102,1-26-2024-102-NM2,22,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.653968173224,10,9
2404755,22,143,1-22-2024-143-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.2845477308788,12,9
2405594,27,174,1-27-2024-174-NM2,22,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,41.6395308351094,3,9
2405594,27,174,1-27-2024-174-NM2,22,1,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41.6395308351094,3,9
2405594,27,174,1-27-2024-174-NM2,22,2,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,41.6395308351094,3,9
2405594,27,174,1-27-2024-174-NM2,22,2,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41.6395308351094,3,9
2402767,27,90,1-27-2024-090-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.2945661482558,3,9
2404141,15,165,1-15-2024-165-NM2,22,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.3765495168134,1,9
2404141,15,165,1-15-2024-165-NM2,22,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3765495168134,1,9
2402243,15,87,1-15-2024-087-NM2,22,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.7446223566179,1,9
2403500,32,122,1-32-2024-122-NM1,21,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.4199310356771,7,9
2403500,32,122,1-32-2024-122-NM1,21,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.4199310356771,7,9
2404502,31,95,1-31-2024-095-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,343.437603726452,6,9
2404828,25,128,1-25-2024-128-NM1,21,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,46.3961698932894,2,9
2404828,25,128,1-25-2024-128-NM1,21,1,2,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,46.3961698932894,2,9
2403886,24,109,1-24-2024-109-NM1,21,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.1726143074507,1,9
2403886,24,109,1-24-2024-109-NM1,21,1,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.1726143074507,1,9
2405730,26,128,1-26-2024-128-NM1,21,1,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,26.5232523906936,10,9
