CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2403697,33,63,1-33-2024-063-01,1,2,LF,129,P7 AS PLUS 3,P245/50R78,1UNV2166L3221,7,0,1,35.1791324819626,12,9
2403697,33,63,1-33-2024-063-01,1,2,RF,129,P7 AS PLUS 3,P245/50R78,1UNV2166L3221,7,0,1,35.1791324819626,12,9
2403697,33,63,1-33-2024-063-01,1,2,LR,129,P7 AS PLUS 3,P245/50R78,1UNV2166L3221,5,0,1,35.1791324819626,12,9
2403697,33,63,1-33-2024-063-01,1,2,RR,129,P7 AS PLUS 3,P245/50R78,9999999999999,5,1,1,35.1791324819626,12,9
2403946,18,108,1-18-2024-108-06,6,1,RF,66,GRABBER HTS 60,P275/60R20,1A304DEMP1722,7,0,1,263.0958563588,6,9
2403946,18,108,1-18-2024-108-06,6,1,RR,66,GRABBER HTS 60,P275/60R20,1A304DEMP1722,6,0,1,263.0958563588,6,9
2403946,18,108,1-18-2024-108-06,6,1,LR,66,GRABBER HTS 60,P275/60R20,1A304DEMP1722,5,0,1,263.0958563588,6,9
2401696,66,39,1-66-2024-039-10,10,1,LR,999,Unknown,UNKNOWN,9999999999999,99,8,9,242.389498710963,6,9
2401696,66,39,1-66-2024-039-10,10,1,RR,999,Unknown,UNKNOWN,9999999999999,99,8,9,242.389498710963,6,9
2401696,66,39,1-66-2024-039-10,10,1,RF,999,Unknown,UNKNOWN,9999999999999,99,8,9,242.389498710963,6,9
2400451,12,12,1-12-2024-012-06,6,1,LF,999,unknown,UNKNOWN,9999999999999,99,0,9,479.780340296165,9,9
2402772,15,110,1-15-2024-110-06,6,1,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,99.7135671483522,1,9
2402772,15,110,1-15-2024-110-06,6,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,99.7135671483522,1,9
2402772,15,110,1-15-2024-110-06,6,1,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,99.7135671483522,1,9
2402772,15,110,1-15-2024-110-06,6,1,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,99.7135671483522,1,9
2402280,59,73,1-59-2024-073-08,8,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,77.4683248872621,6,9
2402280,59,73,1-59-2024-073-08,8,1,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,77.4683248872621,6,9
2402280,59,73,1-59-2024-073-08,8,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,77.4683248872621,6,9
2400459,23,8,1-23-2024-008-06,6,2,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,248.232832399594,5,9
2400459,23,8,1-23-2024-008-06,6,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,248.232832399594,5,9
